Report Period,Institution ID,Institution Name,Percent Medical Exemptions,Percent Religious Exemptions,Percent Immunized Measles,Percent Immunized Mumps,Percent Immunized Rubella,Percent Completely Immunized,Street Address,City,State,Zip Code,Location 
2013-2014,53662143,COLLEGE OF NEW ROCHELLE - NYC CAMPUSES,0.54,0.2,99,99.3,99.3,99,29 CASTLE PL,NEW ROCHELLE,NY,10805,"29 CASTLE PL
NEW ROCHELLE, NY 10805
(40.90081165000004, -73.78110036199996)"
2014-2015,73312180,METROPOLITAN COLLEGE OF NY,0.08,0,99.9,99.9,99.9,99.9,75 VARICK ST,NEW YORK,NY,10013,"75 VARICK ST
NEW YORK, NY 10013
(40.72323586500005, -74.00623584299996)"
2013-2014,72341272,SWEDISH INSTITUTE COLLEGE OF HEALTH SCIENCES,0.00,0,100,100,100,100,226 WEST 26TH ST,NEW YORK,NY,10001,"226 WEST 26TH ST
NEW YORK, NY 10001
(40.74650473100007, -73.99553195599998)"
2013-2014,64581291,LONG ISLAND BUSINESS INSTITUTE - Commack,0.00,0,95.7,95.7,95.7,95.7,6500 JERICHO TURNPIKE,COMMACK,NY,11725,"6500 JERICHO TURNPIKE
COMMACK, NY 11725
(40.84275334000006, -73.29207640899995)"
2015-2016,23412056,PRATT AT MUNSON-WILLIAMS-PROCTOR INST.,0.00,0.6,99.4,99.4,99.4,99.4,310 GENESEE ST.,UTICA,NY,13502,"310 GENESEE ST.
UTICA, NY 13502
(43.09723589300006, -75.23985342599997)"
2013-2014,63582290,LONG ISLAND UNIVERSITY - RIVERHEAD CAMPUS,0.00,0.8,97.6,97.6,97.6,97.6,121 SPEONK-RIVERHEAD RD,RIVERHEAD,NY,11901,"121 SPEONK-RIVERHEAD RD
RIVERHEAD, NY 11901
(40.87638947800008, -72.69691642899994)"
2014-2015,72352268,CUNY COLLEGE OF STATEN ISLAND,0.04,0,99.9,99.9,99.9,99.9,2800 VICTORY BLVD,STATEN ISLAND,NY,10314,"2800 VICTORY BLVD
STATEN ISLAND, NY 10314
(40.60874547800006, -74.15378313299993)"
2013-2014,72341267,"KING'S COLLEGE, THE",0.00,1.2,98.6,98.8,98.8,98.6,"350 FIFTH AVENUE, SUITE 1500",NEW YORK,NY,10118,"350 FIFTH AVENUE, SUITE 1500
NEW YORK, NY 10118
(40.74837519500005, -73.98464793999995)"
2014-2015,53502147,YESHIVA SHAAREI TORAH OF ROCKLAND,0.00,0,99.1,100,100,99.1,91 WEST CARLTON ROAD,SUFFERN,NY,10901,"91 WEST CARLTON ROAD
SUFFERN, NY 10901
(41.10779004200003, -74.13348671799997)"
2013-2014,53502141,ST THOMAS AQUINAS COLLEGE,0.00,0.1,99.9,99.9,99.9,99.9,130 ROUTE 340,SPARKILL,NY,10976,"130 ROUTE 340
SPARKILL, NY 10976
(41.040577047000056, -73.93678905599995)"
2013-2014,33263099,ST BERNARD'S SCHOOL OF THEOLOGY & MINISTRY,0.00,0,76.9,76.9,76.9,76.9,120 FRENCH RD,ROCHESTER,NY,14618,"120 FRENCH RD
ROCHESTER, NY 14618
(43.101594989000034, -77.52677511299999)"
2013-2014,73332352,YESHIVA AND KOLLEL HARBOTZAS TORAH,2.22,0,97.8,97.8,97.8,97.8,1049 EAST 15TH ST.,BROOKLYN,NY,11230,"1049 EAST 15TH ST.
BROOKLYN, NY 11230
(40.62392671500004, -73.96111607599994)"
2014-2015,53502135,DOMINICAN COLLEGE OF BLAUVELT,0.00,0,95.8,95.8,95.8,95.8,470 WESTERN HWY,ORANGEBURG,NY,10962,"470 WESTERN HWY
ORANGEBURG, NY 10962
(41.05164845200005, -73.95215312199997)"
2012-2013,73322236,FORDHAM UNIVERSITY,0.05,0.2,99.7,99.7,99.7,99.7,441 E FORDHAM RD,BRONX,NY,10458,"441 E FORDHAM RD
BRONX, NY 10458
(40.86067206600006, -73.88938282899994)"
2013-2014,33262103,TALMUDICAL INSTITUTE OF UPSTATE NEW YORK,0.00,0,90.5,100,100,90.5,769 PARK AVE,ROCHESTER,NY,14607,"769 PARK AVE
ROCHESTER, NY 14607
(43.14723262700005, -77.57482773699996)"
2013-2014,53502148,YESHIVATH VIZNITZ,0.00,1.1,73.2,78.9,78.9,73.2,15 ELYON RD,MONSEY,NY,10952,"15 ELYON RD
MONSEY, NY 10952
(41.11483553200003, -74.07096413299996)"
2013-2014,73313184,WEILL CORNELL MEDICAL COLLEGE,0.00,0,99.7,100,100,99.7,"418 EAST 71ST ST, SUITE 21",NEW YORK,NY,10021,"418 EAST 71ST ST, SUITE 21
NEW YORK, NY 10021
(40.76663466400004, -73.95540146399998)"
2012-2013,24421063,ITT TECHNICAL INSTITUTE  -Liverpool,0.00,0,100,100,100,100,235 GREENFIELD PARKWAY,LIVERPOOL,NY,13088,"235 GREENFIELD PARKWAY
LIVERPOOL, NY 13088
(43.08147204900007, -76.17496346099995)"
2014-2015,13011007,MARIA COLLEGE OF ALBANY,0.12,0,99.9,99.9,99.9,99.9,700 NEW SCOTLAND AVE,ALBANY,NY,12208,"700 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65797304100005, -73.80544156499997)"
2012-2013,23032040,DAVIS COLLEGE,0.00,1,96.5,96.5,96.5,96.5,400 RIVERSIDE DR,JOHNSON CITY,NY,13790,"400 RIVERSIDE DR
JOHNSON CITY, NY 13790
(42.101795501000026, -75.96083743399998)"
2015-2016,43022108,ALFRED UNIVERSITY,0.15,0.4,99.4,99.4,99.4,99.4,19 PARK ST,ALFRED,NY,14802,"19 PARK ST
ALFRED, NY 14802
(42.25213844000007, -77.78885610099996)"
2014-2015,11012011,MEMORIAL SCHOOL OF NURSING,0.00,0,100,100,100,100,600 NORTHERN BOULEVARD,ALBANY,NY,12204,"600 NORTHERN BOULEVARD
ALBANY, NY 12204
(42.67457606800008, -73.74902157399998)"
2013-2014,74311250,"GLOBE INSTITUE OF TECHNOLOGY, INC.",0.38,0,99.1,99.6,99.6,99.1,291 BROADWAY,NEW YORK,NY,10007,"291 BROADWAY
NEW YORK, NY 10007
(40.714851166000074, -74.00578515599994)"
2012-2013,44141335,BRYANT & STRATTON COLLEGE - SOUTHTOWNS,0.21,0,99.6,99.6,99.6,99.6,200 REDTAIL STERLING PARK,ORCHARD PARK,NY,14127,"200 REDTAIL STERLING PARK
ORCHARD PARK, NY 14127
(42.790754089000075, -78.77033038199994)"
2013-2014,73352270,WAGNER COLLEGE,0.04,0,99.8,99.8,99.8,99.8,631 HOWARD AVE,STATEN ISLAND,NY,10301,"631 HOWARD AVE
STATEN ISLAND, NY 10301
(40.61658799800006, -74.09430605499995)"
2014-2015,73341259,ST PAUL'S SCHOOL OF NURSING (QUEENS),0.00,0,95.3,95.6,90.3,90.3,97-77 QUEENS BLVD,REGO PARK,NY,11374,"97-77 QUEENS BLVD
REGO PARK, NY 11374
(40.729036877000055, -73.85869130399993)"
2014-2015,73342260,VAUGHN COLLEGE OF AERONAUTICS & TECHNOLOGY,0.07,0,98.2,99.8,99.9,98.1,86-01 23RD AVE,FLUSHING,NY,11369,"86-01 23RD AVE
FLUSHING, NY 11369
(40.767258224000045, -73.88358477299994)"
2013-2014,43042113,ST BONAVENTURE UNIVERSITY,0.00,0.4,99.6,99.6,99.6,99.6,3261 WEST STATE RD,SAINT BONAVENTURE,NY,14778,"3261 WEST STATE RD
SAINT BONAVENTURE, NY 14778
(42.080377104000036, -78.47864210099993)"
2012-2013,72321237,CUNY EUGENIO MARIO DE HOSTOS COMMUNITY COLLEGE,0.02,0,99.8,99.8,99.8,99.8,475 GRAND CONCOURSE,BRONX,NY,10451,"475 GRAND CONCOURSE
BRONX, NY 10451
(40.816237691000026, -73.92835108899999)"
2012-2013,33262102,UNIVERSITY OF ROCHESTER,0.03,0.1,98.4,98.4,98.4,98.4,240 WALLIS HALL,ROCHESTER,NY,14642,"240 WALLIS HALL
ROCHESTER, NY 14642
(43.12435125800005, -77.62366105599995)"
2012-2013,73312180,METROPOLITAN COLLEGE OF NY,0.40,0,99.6,99.6,99.6,99.6,75 VARICK ST,NEW YORK,NY,10013,"75 VARICK ST
NEW YORK, NY 10013
(40.72323586500005, -74.00623584299996)"
2015-2016,73311217,PHILLIPS BETH ISRAEL SCHOOL OF NURSING,0.00,0,100,100,100,100,776 AVENUE OF THE AMERICAS #4,NEW YORK,NY,10001,"776 AVENUE OF THE AMERICAS #4
NEW YORK, NY 10001
(40.744924954000055, -73.99129508999994)"
2014-2015,72341274,TOURO COLLEGE,0.10,0.1,99.3,99.8,99.8,99.3,"27-33 WEST 23RD ST, 5TH FLOOR",NEW YORK,NY,10010,"27-33 WEST 23RD ST, 5TH FLOOR
NEW YORK, NY 10010
(40.74054703300004, -73.98502677899995)"
2015-2016,73332334,KEHILATH YAKOV RABBINICAL SEMINARY,0.00,0,100,100,100,100,638 BEDFORD AVE,BROOKLYN,NY,10036,"638 BEDFORD AVE
BROOKLYN, NY 10036
(40.70215137900004, -73.95896186299996)"
2015-2016,11541036,SUNY COLLEGE OF AG & TECH AT COBLESKILL,0.09,0.4,99.5,99.5,99.5,99.5,106 SUFFOLK CIRCLE,COBLESKILL,NY,12043,"106 SUFFOLK CIRCLE
COBLESKILL, NY 12043
(42.67182424300006, -74.49878727099997)"
2013-2014,71312092,FASHION INSTITUTE OF TECHNOLOGY,0.01,0.4,97.2,97.7,97.8,97.2,SEVENTH AVENUE AT 27TH ST RM A402,NEW YORK,NY,10001,"SEVENTH AVENUE AT 27TH ST RM A402
NEW YORK, NY 10001
(40.749278520000075, -73.99259388499996)"
2014-2015,13532036,CLARKSON UNIVERSITY CAPITAL REGIONAL CAMPUS,0.00,0,88.3,88.3,88.3,88.3,80 NOTT TERRACE,SCHENECTADY,NY,12308,"80 NOTT TERRACE
SCHENECTADY, NY 12308
(42.81348787400003, -73.93409783899995)"
2014-2015,74312202,LIM COLLEGE,0.00,0.3,99.7,99.7,99.7,99.7,216 EAST 45TH ST,NEW YORK,NY,10017,"216 EAST 45TH ST
NEW YORK, NY 10017
(40.75223449500004, -73.97205111299996)"
2014-2015,13492327,THE SAGE COLLEGES,0.12,0.2,99.2,99.3,99.3,99.1,65 FIRST STREET,TROY,NY,12180,"65 FIRST STREET
TROY, NY 12180
(42.728175468000074, -73.69352701699995)"
2015-2016,21422071,SUNY COLLEGE OF ENVIROMENTAL SCIENCE AND FORESTRY,0.05,0.2,99,99,99,99,ONE FORESTRY DR,SYRACUSE,NY,13210,"ONE FORESTRY DR
SYRACUSE, NY 13210
(43.03537776600007, -76.13454929599999)"
2014-2015,73322236,FORDHAM UNIVERSITY,0.08,0.1,99.8,99.8,99.8,99.8,441 E FORDHAM RD,BRONX,NY,10458,"441 E FORDHAM RD
BRONX, NY 10458
(40.86067206600006, -73.88938282899994)"
2012-2013,13133021,UNIFICATION THEOLOGICAL SEMINARY,0.00,0,74.4,89.7,87.2,71.8,30 SEMINARY DR,BARRYTOWN,NY,12507,"30 SEMINARY DR
BARRYTOWN, NY 12507
(42.00354800100007, -73.92533768699997)"
2012-2013,73331248,LONG ISLAND COLLEGE HOSPITAL,0.00,0,100,100,100,100,350 HENRY ST - 7TH FLOOR,BROOKLYN,NY,11201,"350 HENRY ST - 7TH FLOOR
BROOKLYN, NY 11201
(40.689275860000066, -73.99698071399996)"
2015-2016,73342329,BEIS MEDRASH HEICHAL DOVID,0.00,0,100,100,100,100,257 BEACH 17TH ST.,FAR ROCKAWAY,NY,11691,"257 BEACH 17TH ST.
FAR ROCKAWAY, NY 11691
(40.596646640000074, -73.75119227799996)"
2012-2013,43022108,ALFRED UNIVERSITY,0.14,0.4,99.4,99.4,99.4,99.4,19 PARK ST,ALFRED,NY,14802,"19 PARK ST
ALFRED, NY 14802
(42.25213844000007, -77.78885610099996)"
2013-2014,64581292,"BUSINESS INFORMATICS CENTER, INC.",0.00,0,100,100,100,100,134 SOUTH CENTRAL AVE,VALLEY STREAM,NY,11580,"134 SOUTH CENTRAL AVE
VALLEY STREAM, NY 11580
(40.663146925000035, -73.70868594799998)"
2013-2014,11091013,CLINTON COMMUNITY COLLEGE,0.00,0,99.8,99.8,99.8,99.8,136 CLIFTON POINT DRIVE,PLATTSBURGH,NY,12901,"136 CLIFTON POINT DRIVE
PLATTSBURGH, NY 12901
(44.64827351300005, -73.44008478499995)"
2012-2013,72341269,ASA COLLEGE,0.36,0,99.6,99.6,99.6,99.6,81 WILLOUGHBY ST,BROOKLYN,NY,11201,"81 WILLOUGHBY ST
BROOKLYN, NY 11201
(40.692228156000056, -73.98608996699994)"
2014-2015,72341264,CUNY FIORELLO H. LAGUARDIA COMMUNITY COLLEGE,0.13,0.1,99.6,99.5,99.5,99.5,3110 THOMSOM AVE,LONG ISLAND CITY,NY,11101,"3110 THOMSOM AVE
LONG ISLAND CITY, NY 11101
(40.74488347300007, -73.93497315499997)"
2015-2016,13522031,SKIDMORE COLLEGE,0.00,0.5,98.8,99,99,98.8,815 N BROADWAY,SARATOGA SPRINGS,NY,12866,"815 N BROADWAY
SARATOGA SPRINGS, NY 12866
(43.09523741500004, -73.77986693099996)"
2015-2016,73332345,TALMUDICAL SEMINARY OF BOBOV,0.00,1.5,92.5,92.5,92.5,92.5,4820 16TH AVE,BROOKLYN,NY,11204,"4820 16TH AVE
BROOKLYN, NY 11204
(40.63123228000006, -73.98534169399994)"
2014-2015,11111111,WORD OF LIFE BIBLE INSTITUTE,0.46,3.9,95.4,95.6,95.6,95.1,4200 GLENDALL RD,POTTERSVILLE,NY,12860,"4200 GLENDALL RD
POTTERSVILLE, NY 12860
(43.72869050400004, -73.81263085299997)"
2014-2015,73312231,NEW YORK STUDIO SCHOOL,0.00,0,75.6,75.6,75.6,75.6,8 WEST 8TH ST,NEW YORK,NY,10011,"8 WEST 8TH ST
NEW YORK, NY 10011
(40.732584762000045, -73.99719167599994)"
2013-2014,11441047,ORANGE COUNTY COMMUNITY COLLEGE,0.16,0.2,99.7,99.7,99.7,99.7,115 SOUTH ST,MIDDLETOWN,NY,10940,"115 SOUTH ST
MIDDLETOWN, NY 10940
(41.43845844900005, -74.42549287299994)"
2015-2016,74312221,SCHOOL OF VISUAL ARTS,0.02,0.2,99.7,99.7,99.7,99.7,209 E 23RD ST,NEW YORK,NY,10010,"209 E 23RD ST
NEW YORK, NY 10010
(40.73854646700005, -73.98241037699995)"
2015-2016,73332352,YESHIVA AND KOLLEL HARBOTZAS TORAH,1.89,0,98.1,98.1,98.1,98.1,1049 EAST 15TH ST.,BROOKLYN,NY,11230,"1049 EAST 15TH ST.
BROOKLYN, NY 11230
(40.62392671500004, -73.96111607599994)"
2012-2013,24031011,ELIM BIBLE INSTITUTE,0.00,0,100,100,100,100,7245 COLLEGE ST,LIMA,NY,14485,"7245 COLLEGE ST
LIMA, NY 14485
(42.90849822800004, -77.61453762299999)"
2013-2014,21422070,SUNY HEALTH SCIENCE CENTER AT SYRACUSE,0.13,0,99.9,99.9,99.9,99.9,750 E ADAMS ST,SYRACUSE,NY,13210,"750 E ADAMS ST
SYRACUSE, NY 13210
(43.04266635600004, -76.14038251099998)"
2014-2015,73313307,SOTHEBY'S INSTITUTE OF ART-NEW YORK,0.00,0,100,100,100,100,"570 LEXINGTON AVENUE, 6TH FLOOR",NEW YORK,NY,10022,"570 LEXINGTON AVENUE, 6TH FLOOR
NEW YORK, NY 10022
(40.756942252000044, -73.97208096599996)"
2014-2015,23252052,COLGATE UNIVERSITY,0.00,0.2,99.8,99.8,99.8,99.8,13 OAK DR,HAMILTON,NY,13346,"13 OAK DR
HAMILTON, NY 13346
(42.819777094000074, -75.53575329899996)"
2014-2015,72341269,ASA COLLEGE,0.23,0,99.8,99.8,99.8,99.8,81 WILLOUGHBY,BROOKLYN,NY,11201,"81 WILLOUGHBY
BROOKLYN, NY 11201
(40.692221794000034, -73.98571874799995)"
2013-2014,73332332,BETH HATALMUD RABBINICAL COLLEGE,0.00,0,100,100,100,100,2127 82ND ST.,BROOKLYN,NY,11214,"2127 82ND ST.
BROOKLYN, NY 11214
(40.60508586200007, -73.99286521499994)"
2015-2016,43141124,HILBERT COLLEGE,0.00,0.1,95.1,95.1,95.1,95.1,5200 SOUTH PARK AVE,HAMBURG,NY,14075,"5200 SOUTH PARK AVE
HAMBURG, NY 14075
(42.75434752700005, -78.82459341499998)"
2014-2015,41061115,JAMESTOWN COMMUNITY COLLEGE,0.14,0.2,99.7,99.7,99.7,99.7,525 FALCONER ST,JAMESTOWN,NY,14701,"525 FALCONER ST
JAMESTOWN, NY 14701
(42.11300210700006, -79.21814053799994)"
2015-2016,72321235,CUNY HERBERT H LEHMAN COLLEGE,0.02,0,99.8,99.8,99.8,99.8,250 BEDFORD PARK BLVD W,BRONX,NY,10468,"250 BEDFORD PARK BLVD W
BRONX, NY 10468
(40.87540234100004, -73.89372140599994)"
2012-2013,13012005,COLLEGE OF SAINT ROSE,0.07,0.2,99.7,99.7,99.7,99.7,432 WESTERN AVE,ALBANY,NY,12203,"432 WESTERN AVE
ALBANY, NY 12203
(42.66472040100007, -73.78631773799998)"
2014-2015,73332349,YESHIVA DERECH CHAIM,0.00,1.1,98.9,98.9,98.9,98.9,1573 39TH ST.,BROOKLYN,NY,11218,"1573 39TH ST.
BROOKLYN, NY 11218
(40.636805862000074, -73.97992545899996)"
2014-2015,53502144,RABBINICAL COLLEGE BETH SHRAGA,0.00,0,100,100,100,100,28 SADDLE RIVER ROAD,MONSEY,NY,10952,"28 SADDLE RIVER ROAD
MONSEY, NY 10952
(41.113851529000044, -74.07201469399996)"
2013-2014,72342264,CUNY SCHOOL OF PROFESSIONAL STUDIES,0.00,0,100,100,100,100,101 WEST 31ST ST 12TH FLOOR,NEW YORK,NY,10010,"101 WEST 31ST ST 12TH FLOOR
NEW YORK, NY 10010
(40.74797084100004, -73.98925374399994)"
2014-2015,64581294,SBI CAMPUS,0.00,0,96.1,96.1,96.1,96.1,320 SOUTH SERVICE ROAD,MELVILLE,NY,11747,"320 SOUTH SERVICE ROAD
MELVILLE, NY 11747
(40.77968281400007, -73.41571622599997)"
2015-2016,24411061,UTICA SCHOOL OF COMMERCE,0.00,0,84.9,84.9,84.9,84.9,201 BLEECKER ST,UTICA,NY,13501,"201 BLEECKER ST
UTICA, NY 13501
(43.10170571500004, -75.22891256099996)"
2015-2016,33262102,UNIVERSITY OF ROCHESTER,0.03,0.2,99.5,99.7,99.7,99.5,240 WALLIS HALL,ROCHESTER,NY,14627,"240 WALLIS HALL
ROCHESTER, NY 14627
(43.13332384000006, -77.61951585999998)"
2012-2013,73332326,POLYTECHNIC INSTITUTE OF NYU,0.12,0.1,99.8,99.8,99.8,99.8,101 JOHNSON ST,BROOKLYN,NY,11201,"101 JOHNSON ST
BROOKLYN, NY 11201
(40.69495950900006, -73.98632833499994)"
2013-2014,23252052,COLGATE UNIVERSITY,0.00,0.3,99.7,99.7,99.7,99.7,13 OAK DR,HAMILTON,NY,13346,"13 OAK DR
HAMILTON, NY 13346
(42.819777094000074, -75.53575329899996)"
2013-2014,73332354,YESHIVAT MIKDASH  MELECH,0.00,0,94.4,94.4,94.4,94.4,1326 OCEAN PARKWAY,BROOKLYN,NY,11230,"1326 OCEAN PARKWAY
BROOKLYN, NY 11230
(40.61627382000006, -73.96929579199997)"
2015-2016,41142129,SUNY BUFFALO,0.03,0.1,99.6,99.7,99.7,99.6,3435 MAIN ST,BUFFALO,NY,14214,"3435 MAIN ST
BUFFALO, NY 14214
(42.956001607000076, -78.82047802499994)"
2012-2013,73352270,WAGNER COLLEGE,0.05,0.1,99.5,99.5,99.5,99.5,631 HOWARD AVE,STATEN ISLAND,NY,10301,"631 HOWARD AVE
STATEN ISLAND, NY 10301
(40.61658799800006, -74.09430605499995)"
2012-2013,73311217,PHILLIPS BETH ISRAEL SCHOOL OF NURSING,0.00,0,100,100,100,100,776 AVENUE OF THE AMERICAS #4,NEW YORK,NY,10001,"776 AVENUE OF THE AMERICAS #4
NEW YORK, NY 10001
(40.744924954000055, -73.99129508999994)"
2015-2016,74312202,LIM COLLEGE,0.06,0.3,99.6,99.6,99.6,99.6,216 EAST 45TH ST,NEW YORK,NY,10017,"216 EAST 45TH ST
NEW YORK, NY 10017
(40.75223449500004, -73.97205111299996)"
2013-2014,53502144,RABBINICAL COLLEGE BETH SHRAGA,0.00,0,96.3,96.3,96.3,96.3,28 SADDLE RIVER ROAD,MONSEY,NY,10952,"28 SADDLE RIVER ROAD
MONSEY, NY 10952
(41.113851529000044, -74.07201469399996)"
2015-2016,11532036,ELLIS HOSPITAL SCHOOL OF NURSING,0.00,0,100,100,100,100,1101 NOTT ST,SCHENECTADY,NY,12308,"1101 NOTT ST
SCHENECTADY, NY 12308
(42.81970599600004, -73.91833166399994)"
2012-2013,23421063,POMEROY COLLEGE OF NURSING AT CROUSE HOSPITAL,0.00,0,100,100,100,100,765 IRVING AVE,SYRACUSE,NY,13210,"765 IRVING AVE
SYRACUSE, NY 13210
(43.04019883500007, -76.13787788299999)"
2012-2013,63282271,ADELPHI UNIVERSITY,0.14,0.2,99.4,99.4,99.4,99.4,ONE SOUTH AVENUE,GARDEN CITY,NY,11530,"ONE SOUTH AVENUE
GARDEN CITY, NY 11530
(40.72275383500005, -73.65423796499994)"
2012-2013,43141130,TROCAIRE COLLEGE,0.07,0.1,99.5,99.5,99.5,99.5,360 CHOATE AVENUE,BUFFALO,NY,14220,"360 CHOATE AVENUE
BUFFALO, NY 14220
(42.846742791000054, -78.81186519599999)"
2012-2013,72312327,CUNY CITY COLLEGE,0.03,0,90.7,90.7,90.7,90.7,160 CONVENT AVE & 138TH ST RM J15,NEW YORK,NY,10031,"160 CONVENT AVE & 138TH ST RM J15
NEW YORK, NY 10031
(40.82461533700007, -73.95003781599996)"
2014-2015,71312094,NEW YORK CAREER INSTITUTE,0.39,0.6,99,98.6,98.6,98.6,11 PARK PLACE,NEW YORK,NY,10007,"11 PARK PLACE
NEW YORK, NY 10007
(40.71282129600007, -74.00824696599994)"
2015-2016,53662164,SARAH LAWRENCE COLLEGE,0.14,0.7,99.2,99.2,99.2,99.2,1 MEADWAY,BRONXVILLE,NY,10708,"1 MEADWAY
BRONXVILLE, NY 10708
(40.93444358200003, -73.84346353999996)"
2013-2014,21211048,HERKIMER COUNTY COMMUNITY COLLEGE,0.06,0.1,98.4,98.4,98.7,98.1,100 RESERVOIR RD,HERKIMER,NY,13350,"100 RESERVOIR RD
HERKIMER, NY 13350
(43.03346312900004, -75.00141497499999)"
2013-2014,72341270,DEVRY COLLEGE OF NEW YORK,0.00,0,99.4,99.4,99.4,99.4,30-20 THOMSON AVE,LONG ISLAND CITY,NY,11101,"30-20 THOMSON AVE
LONG ISLAND CITY, NY 11101
(40.74509326900005, -73.93681353199997)"
2013-2014,11622038,SUNY COLLEGE AT NEW PALTZ,0.09,0.5,85.4,85.4,85.4,85.4,1 HAWK DRIVE,NEW PLATZ,NY,12561,"1 HAWK DRIVE
NEW PLATZ, NY 12561
(41.73823552500005, -74.09076206099996)"
2012-2013,72331247,CUNY KINGSBOROUGH COMMUNITY COLLEGE,0.06,0.1,99.8,99.8,99.8,99.8,2001 ORIENTAL BLVD,BROOKLYN,NY,11235,"2001 ORIENTAL BLVD
BROOKLYN, NY 11235
(40.57851511800004, -73.93486607999995)"
2012-2013,64581293,LONG ISLAND BUSINESS INSTITUTE -Flushing,0.49,0,98.4,99.5,99.5,98.4,136-18 39TH AVE,FLUSHING,NY,11354,"136-18 39TH AVE
FLUSHING, NY 11354
(40.76033002600008, -73.82973432099999)"
2014-2015,73313207,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,0.00,0,100,100,100,100,1 GUSTAVE L. LEVY PLACE,NEW YORK,NY,10029,"1 GUSTAVE L. LEVY PLACE
NEW YORK, NY 10029
(40.789277740000045, -73.95472707699997)"
2014-2015,43141124,HILBERT COLLEGE,0.00,0.1,96.1,96.1,96.1,96.1,5200 SOUTH PARK AVE,HAMBURG,NY,14075,"5200 SOUTH PARK AVE
HAMBURG, NY 14075
(42.75434752700005, -78.82459341499998)"
2012-2013,74312221,SCHOOL OF VISUAL ARTS,0.05,0.3,99.6,99.6,99.6,99.6,209 E 23RD ST,NEW YORK,NY,10010,"209 E 23RD ST
NEW YORK, NY 10010
(40.73854646700005, -73.98241037699995)"
2012-2013,13132016,BARD COLLEGE,0.05,1.5,98,98,98,98,30 CAMPUS RD,ANNANDALE ON HUDSON,NY,12504,"30 CAMPUS RD
ANNANDALE ON HUDSON, NY 12504
(42.01924492000006, -73.90720382599994)"
2014-2015,21422071,SUNY COLLEGE OF ENVIROMENTAL SCIENCE AND FORESTRY,0.00,0.3,99.1,99.2,99.2,99.1,ONE FORESTRY DR,SYRACUSE,NY,13210,"ONE FORESTRY DR
SYRACUSE, NY 13210
(43.03537776600007, -76.13454929599999)"
2013-2014,51501140,ROCKLAND COMMUNITY COLLEGE,0.08,0.3,99,98.9,99,98.5,145 COLLEGE RD,SUFFERN,NY,10901,"145 COLLEGE RD
SUFFERN, NY 10901
(41.133713682000064, -74.08301225499997)"
2015-2016,21031041,BROOME COMMUNITY COLLEGE,0.14,0.4,82.5,82.5,82.5,82.5,UPPER FRONT ST,BINGHAMTON,NY,13902,"UPPER FRONT ST
BINGHAMTON, NY 13902
(42.12402438300006, -75.90565596499994)"
2014-2015,73312328,STERN COLLEGE FOR WOMEN,0.00,0,100,100,100,100,245 LEXINGTON AVE RM 114,NEW YORK,NY,10016,"245 LEXINGTON AVE RM 114
NEW YORK, NY 10016
(40.74673201000007, -73.97944409399997)"
2015-2016,73341257,BRAMSON ORT COLLEGE,0.00,0.2,96,96.5,96.5,96,6930 AUSTIN ST,FOREST HILLS,NY,11375,"6930 AUSTIN ST
FOREST HILLS, NY 11375
(40.72153536700006, -73.84863542699998)"
2013-2014,43142126,MEDAILLE COLLEGE,0.05,0.1,98.7,98.8,98.8,98.7,18 AGASSIZ CIRCLE,BUFFALO,NY,14214,"18 AGASSIZ CIRCLE
BUFFALO, NY 14214
(42.929656426000065, -78.85508800299993)"
2014-2015,72321235,CUNY HERBERT H LEHMAN COLLEGE,0.04,0,99.9,99.9,99.9,99.9,250 BEDFORD PARK BLVD W,BRONX,NY,10468,"250 BEDFORD PARK BLVD W
BRONX, NY 10468
(40.87540234100004, -73.89372140599994)"
2013-2014,73332336,MESIVTA OF EASTERN PARKWAY RABBINICAL SEMINARY,0.00,0,100,100,100,100,510 DAHILL ROAD,BROOKLYN,NY,11218,"510 DAHILL ROAD
BROOKLYN, NY 11218
(40.635163625000075, -73.97908510899998)"
2015-2016,53592000,YESHIVATH ZICHRON MOSHE,0.53,0,99.5,99.5,99.5,99.5,84 LAUREL PARK RD,SOUTH FALLSBURG,NY,12779,"84 LAUREL PARK RD
SOUTH FALLSBURG, NY 12779
(41.729539239000076, -74.62070437299997)"
2013-2014,21411344,MOHAWK VALLEY COMMUNITY COLLEGE,0.14,0.1,99.5,99.5,99.5,99.1,1101 SHERMAN DR,UTICA,NY,13501,"1101 SHERMAN DR
UTICA, NY 13501
(43.076574477000065, -75.22017921599996)"
2012-2013,23412055,HAMILTON COLLEGE,0.11,0.3,99.6,99.6,99.6,99.6,198 COLLEGE HILL RD,CLINTON,NY,13323,"198 COLLEGE HILL RD
CLINTON, NY 13323
(43.050156489000074, -75.40233815099998)"
2013-2014,24421063,ITT TECHNICAL INSTITUTE  -Liverpool,0.00,0,100,100,100,100,235 GREENFIELD PARKWAY,LIVERPOOL,NY,13088,"235 GREENFIELD PARKWAY
LIVERPOOL, NY 13088
(43.08147204900007, -76.17496346099995)"
2014-2015,63283285,WEBB INSTITUTE,0.00,0,100,100,100,100,298 CRESENT BEACH RD,GLEN COVE,NY,11542,"298 CRESENT BEACH RD
GLEN COVE, NY 11542
(40.88286206400005, -73.64361924999997)"
